Date,Open,High,Low,Close,Volume,Adj Close
9/12/2014,101.21,102.19,101.08,101.66,62626100,101.66
9/11/2014,100.41,101.44,99.62,101.43,62353100,101.43
9/10/2014,98.01,101.11,97.76,101,100741900,101
9/9/2014,99.08,103.08,96.14,97.99,189560600,97.99
9/8/2014,99.3,99.31,98.05,98.36,46277800,98.36
9/5/2014,98.8,99.39,98.31,98.97,58353200,98.97
9/4/2014,98.85,100.09,97.79,98.12,85594800,98.12
9/3/2014,103.1,103.2,98.58,98.94,125233100,98.94
9/2/2014,103.06,103.74,102.72,103.3,53491400,103.3
8/29/2014,102.86,102.9,102.2,102.5,44567000,102.5
8/28/2014,101.59,102.78,101.56,102.25,68389800,102.25
8/27/2014,101.02,102.57,100.7,102.13,46827400,102.13
8/26/2014,101.42,101.5,100.86,100.89,33119800,100.89
8/25/2014,101.79,102.17,101.28,101.54,40144700,101.54
8/22/2014,100.29,101.47,100.19,101.32,44102400,101.32
8/21/2014,100.57,100.94,100.11,100.58,33421900,100.58
8/20/2014,100.44,101.09,99.95,100.57,52612800,100.57
8/19/2014,99.41,100.68,99.32,100.53,69274700,100.53
8/18/2014,98.49,99.37,97.98,99.16,47572000,99.16
8/15/2014,97.9,98.19,96.86,97.98,48951000,97.98
8/14/2014,97.33,97.57,96.8,97.5,28116000,97.5
8/13/2014,96.15,97.24,96.04,97.24,31916000,97.24
8/12/2014,96.04,96.88,95.61,95.97,33795000,95.97
8/11/2014,95.27,96.08,94.84,95.99,36585000,95.99
8/8/2014,94.26,94.82,93.28,94.74,41865000,94.74
8/7/2014,94.93,95.95,94.1,94.48,46711000,94.48
8/6/2014,94.75,95.48,94.71,94.96,38558000,94.49
8/5/2014,95.36,95.68,94.36,95.12,55933000,94.65
8/4/2014,96.37,96.58,95.17,95.59,39958000,95.12
8/1/2014,94.9,96.62,94.81,96.13,48511000,95.65
7/31/2014,97.16,97.45,95.33,95.6,56843000,95.13
7/30/2014,98.44,98.7,97.67,98.15,33010000,97.66
7/29/2014,99.33,99.44,98.25,98.38,43143000,97.89
7/28/2014,97.82,99.24,97.55,99.02,55318000,98.53
7/25/2014,96.85,97.84,96.64,97.67,43469000,97.19
7/24/2014,97.04,97.32,96.42,97.03,45729000,96.55
7/23/2014,95.42,97.88,95.17,97.19,92918000,96.71
7/22/2014,94.68,94.89,94.12,94.72,55197000,94.25
7/21/2014,94.99,95,93.72,93.94,39079000,93.48
7/18/2014,93.62,94.74,93.02,94.43,49988000,93.96
7/17/2014,95.03,95.28,92.57,93.09,57298000,92.63
7/16/2014,96.97,97.1,94.74,94.78,53502000,94.31
7/15/2014,96.8,96.85,95.03,95.32,45477900,94.85
7/14/2014,95.86,96.89,95.65,96.45,42810000,95.97
7/11/2014,95.36,95.89,94.86,95.22,34018000,94.75
7/10/2014,93.76,95.55,93.52,95.04,39686000,94.57
7/9/2014,95.44,95.95,94.76,95.39,36436000,94.92
7/8/2014,96.27,96.8,93.92,95.35,65222000,94.88
7/7/2014,94.14,95.99,94.1,95.97,56468000,95.5
7/3/2014,93.67,94.1,93.2,94.03,22891800,93.56
7/2/2014,93.87,94.06,93.09,93.48,28465000,93.02
7/1/2014,93.52,94.07,93.13,93.52,38223000,93.06
6/30/2014,92.1,93.73,92.09,92.93,49589000,92.47
6/27/2014,90.82,92,90.77,91.98,64029000,91.52
6/26/2014,90.37,91.05,89.8,90.9,32629000,90.45
6/25/2014,90.21,90.7,89.65,90.36,36869000,89.91
6/24/2014,90.75,91.74,90.19,90.28,39036000,89.83
6/23/2014,91.32,91.62,90.6,90.83,43694000,90.38
6/20/2014,91.85,92.55,90.9,90.91,100898000,90.46
6/19/2014,92.29,92.3,91.34,91.86,35528000,91.41
6/18/2014,92.27,92.29,91.35,92.18,33514000,91.72
6/17/2014,92.31,92.7,91.8,92.08,29726000,91.62
6/16/2014,91.51,92.75,91.45,92.2,35561000,91.74
6/13/2014,92.2,92.44,90.88,91.28,54525000,90.83
6/12/2014,94.04,94.12,91.9,92.29,54749000,91.83
6/11/2014,94.13,94.76,93.47,93.86,45681000,93.4
6/10/2014,94.73,95.05,93.57,94.25,62777000,93.78
6/9/2014,92.7,93.88,91.75,93.7,75415000,93.24
6/6/2014,649.9,651.26,644.47,645.57,87484600,91.77
6/5/2014,646.2,649.37,642.61,647.35,75951400,92.02
6/4/2014,637.44,647.89,636.11,644.82,83870500,91.66
6/3/2014,628.46,638.74,628.25,637.54,73177300,90.63
6/2/2014,633.96,634.83,622.5,628.65,92337700,89.36
5/30/2014,637.98,644.17,628.9,633,141005200,89.98
5/29/2014,627.85,636.87,627.77,635.38,94118500,90.32
5/28/2014,626.02,629.83,623.78,624.01,78870400,88.7
5/27/2014,615.88,625.86,615.63,625.63,87216500,88.93
5/23/2014,607.25,614.73,606.47,614.13,58052400,87.3
5/22/2014,606.6,609.85,604.1,607.27,50190000,86.32
5/21/2014,603.83,606.7,602.06,606.31,49214900,86.19
5/20/2014,604.51,606.4,600.73,604.71,58709000,85.96
5/19/2014,597.85,607.33,597.33,604.59,79438800,85.94
5/16/2014,588.63,597.53,585.4,597.51,69064100,84.94
5/15/2014,594.7,596.6,588.04,588.82,57711500,83.7
5/14/2014,592.43,597.4,591.74,593.87,41601000,84.42
5/13/2014,592,594.54,590.7,593.76,39934300,84.4
5/12/2014,587.49,593.66,587.4,592.83,53302200,84.27
5/9/2014,584.54,586.25,580.33,585.54,72899400,83.23
5/8/2014,588.25,594.41,586.4,587.99,57574300,83.58
5/7/2014,595.25,597.29,587.73,592.33,70716100,83.73
5/6/2014,601.8,604.41,594.41,594.41,93641100,84.03
5/5/2014,590.14,601,590,600.96,71766800,84.95
5/2/2014,592.34,594.2,589.71,592.58,47878600,83.77
5/1/2014,592,594.8,586.36,591.48,61012000,83.61
4/30/2014,592.64,599.43,589.8,590.09,114160200,83.42
4/29/2014,593.74,595.98,589.51,592.33,84344400,83.73
4/28/2014,572.8,595.75,572.55,594.09,167371400,83.98
4/25/2014,564.53,571.99,563.96,571.94,97568800,80.85
4/24/2014,568.21,570,560.73,567.77,189977900,80.26
4/23/2014,529.06,531.13,524.45,524.75,98735000,74.18
4/22/2014,528.31,531.83,526.5,531.7,50640800,75.16
4/21/2014,525.34,532.14,523.96,531.17,45637200,75.09
4/17/2014,520,527.76,519.2,524.94,71083600,74.21
4/16/2014,518.05,521.09,514.14,519.01,53691400,73.37
4/15/2014,520.27,521.64,511.33,517.96,66622500,73.22
4/14/2014,521.9,522.16,517.21,521.68,51418500,73.74
4/11/2014,519,522.83,517.14,519.61,67929400,73.45
4/10/2014,530.68,532.24,523.17,523.48,59913000,74
4/9/2014,522.64,530.49,522.02,530.32,51542400,74.97
4/8/2014,525.19,526.12,518.7,523.44,60972100,73.99
4/7/2014,528.02,530.9,521.89,523.47,72462600,74
4/4/2014,539.81,540,530.58,531.82,68812800,75.18
4/3/2014,541.39,542.5,537.64,538.79,40586000,76.16
4/2/2014,542.38,543.48,540.26,542.55,45105200,76.7
4/1/2014,537.76,541.87,536.77,541.65,50190000,76.57
3/31/2014,539.23,540.81,535.93,536.74,42167300,75.87
3/28/2014,538.32,538.94,534.25,536.86,50141000,75.89
3/27/2014,540.02,541.5,535.12,537.46,55507900,75.98
3/26/2014,546.52,549,538.86,539.78,74942000,76.3
3/25/2014,541.5,545.75,539.59,544.99,70573300,77.04
3/24/2014,538.42,540.5,535.06,539.19,88925200,76.22
3/21/2014,531.93,533.75,526.33,532.87,93511600,75.33
3/20/2014,529.89,532.67,527.35,528.7,52099600,74.74
3/19/2014,532.26,536.24,529,531.26,56189000,75.1
3/18/2014,525.9,531.97,525.2,531.4,52411800,75.12
3/17/2014,527.7,529.97,525.85,526.74,49886200,74.46
3/14/2014,528.79,530.89,523,524.69,59299800,74.17
3/13/2014,537.44,539.66,529.16,530.65,64435700,75.01
3/12/2014,534.51,537.35,532,536.61,49831600,75.86
3/11/2014,535.45,538.74,532.59,536.09,69806100,75.78
3/10/2014,528.36,533.33,528.34,530.92,44646000,75.05
3/7/2014,531.09,531.98,526.05,530.44,55182400,74.98
3/6/2014,532.79,534.44,528.1,530.75,46372200,75.03
3/5/2014,530.92,534.75,529.13,532.36,50015700,75.25
3/4/2014,531,532.64,527.77,531.24,64785000,75.1
3/3/2014,523.42,530.65,522.81,527.76,59695300,74.6
2/28/2014,529.08,532.75,522.12,526.24,92992200,74.39
2/27/2014,517.14,528.78,516.05,527.67,75470500,74.59
2/26/2014,523.61,525,515.6,517.35,69054300,73.13
2/25/2014,529.38,529.57,521,522.06,57988000,73.8
2/24/2014,523.15,529.92,522.42,527.55,72227400,74.57
2/21/2014,532.79,534.57,524.6,525.25,69696200,74.25
2/20/2014,532.99,537,529,531.15,76464500,75.08
2/19/2014,544.75,546.89,534.35,537.37,78442000,75.96
2/18/2014,546,551.19,545.61,545.99,65062900,77.18
2/14/2014,542.47,545.98,541.21,543.99,68231100,76.9
2/13/2014,534.66,544.85,534.2,544.43,76849500,76.96
2/12/2014,536.95,539.56,533.24,535.92,77025200,75.76
2/11/2014,530.61,537.75,529.5,535.96,70564200,75.76
2/10/2014,518.66,531.99,518,528.99,86389800,74.78
2/7/2014,521.38,522.93,517.38,519.68,92570100,73.46
2/6/2014,510.06,513.5,507.81,512.51,64441300,72.45
2/5/2014,506.56,515.28,506.25,512.59,82086200,72.03
2/4/2014,505.85,509.46,502.76,508.79,94170300,71.49
2/3/2014,502.61,507.73,499.3,501.53,100366000,70.47
1/31/2014,495.18,501.53,493.55,500.6,116199300,70.34
1/30/2014,502.54,506.5,496.7,499.78,169625400,70.23
1/29/2014,503.95,507.37,498.62,500.75,125702500,70.37
1/28/2014,508.76,515,502.07,506.5,266380800,71.17
1/27/2014,550.07,554.8,545.75,550.5,138719700,77.36
1/24/2014,554,555.62,544.75,546.07,107338700,76.73
1/23/2014,549.94,556.5,544.81,556.18,100809800,78.15
1/22/2014,550.91,557.29,547.81,551.51,94996300,77.5
1/21/2014,540.99,550.07,540.42,549.07,82131700,77.15
1/17/2014,551.48,552.07,539.9,540.67,106684900,75.97
1/16/2014,554.9,556.85,551.68,554.25,57319500,77.88
1/15/2014,553.52,560.2,551.66,557.36,97909700,78.32
1/14/2014,538.22,546.73,537.66,546.39,83140400,76.78
1/13/2014,529.91,542.5,529.88,535.73,94623200,75.28
1/10/2014,539.83,540.8,531.11,532.94,76244000,74.89
1/9/2014,546.8,546.86,535.35,536.52,69787200,75.39
1/8/2014,538.81,545.56,538.69,543.46,64632400,76.37
1/7/2014,544.32,545.96,537.92,540.04,79302300,75.89
1/6/2014,537.45,546.8,533.6,543.93,103152700,76.43
1/3/2014,552.86,553.7,540.43,540.98,98116900,76.02
1/2/2014,555.68,557.03,552.02,553.13,58671200,77.73
