date,rate
1949-01,2
1949-02,2
1949-03,2
1949-04,2
1949-05,2
1949-06,2
1949-07,2
1949-08,2
1949-09,2
1949-10,2
1949-11,2
1949-12,2
1950-01,2
1950-02,2
1950-03,2
1950-04,2
1950-05,2
1950-06,2
1950-07,2
1950-08,2
1950-09,2.08
1950-10,2.25
1950-11,2.25
1950-12,2.25
1951-01,2.44
1951-02,2.5
1951-03,2.5
1951-04,2.5
1951-05,2.5
1951-06,2.5
1951-07,2.5
1951-08,2.5
1951-09,2.5
1951-10,2.62
1951-11,2.75
1951-12,2.85
1952-01,3
1952-02,3
1952-03,3
1952-04,3
1952-05,3
1952-06,3
1952-07,3
1952-08,3
1952-09,3
1952-10,3
1952-11,3
1952-12,3
1953-01,3
1953-02,3
1953-03,3
1953-04,3.03
1953-05,3.25
1953-06,3.25
1953-07,3.25
1953-08,3.25
1953-09,3.25
1953-10,3.25
1953-11,3.25
1953-12,3.25
1954-01,3.25
1954-02,3.25
1954-03,3.13
1954-04,3
1954-05,3
1954-06,3
1954-07,3
1954-08,3
1954-09,3
1954-10,3
1954-11,3
1954-12,3
1955-01,3
1955-02,3
1955-03,3
1955-04,3
1955-05,3
1955-06,3
1955-07,3
1955-08,3.23
1955-09,3.25
1955-10,3.4
1955-11,3.5
1955-12,3.5
1956-01,3.5
1956-02,3.5
1956-03,3.5
1956-04,3.65
1956-05,3.75
1956-06,3.75
1956-07,3.75
1956-08,3.84
1956-09,4
1956-10,4
1956-11,4
1956-12,4
1957-01,4
1957-02,4
1957-03,4
1957-04,4
1957-05,4
1957-06,4
1957-07,4
1957-08,4.42
1957-09,4.5
1957-10,4.5
1957-11,4.5
1957-12,4.5
1958-01,4.34
1958-02,4
1958-03,4
1958-04,3.83
1958-05,3.5
1958-06,3.5
1958-07,3.5
1958-08,3.5
1958-09,3.83
1958-10,4
1958-11,4
1958-12,4
1959-01,4
1959-02,4
1959-03,4
1959-04,4
1959-05,4.23
1959-06,4.5
1959-07,4.5
1959-08,4.5
1959-09,5
1959-10,5
1959-11,5
1959-12,5
1960-01,5
1960-02,5
1960-03,5
1960-04,5
1960-05,5
1960-06,5
1960-07,5
1960-08,4.85
1960-09,4.5
1960-10,4.5
1960-11,4.5
1960-12,4.5
1961-01,4.5
1961-02,4.5
1961-03,4.5
1961-04,4.5
1961-05,4.5
1961-06,4.5
1961-07,4.5
1961-08,4.5
1961-09,4.5
1961-10,4.5
1961-11,4.5
1961-12,4.5
1962-01,4.5
1962-02,4.5
1962-03,4.5
1962-04,4.5
1962-05,4.5
1962-06,4.5
1962-07,4.5
1962-08,4.5
1962-09,4.5
1962-10,4.5
1962-11,4.5
1962-12,4.5
1963-01,4.5
1963-02,4.5
1963-03,4.5
1963-04,4.5
1963-05,4.5
1963-06,4.5
1963-07,4.5
1963-08,4.5
1963-09,4.5
1963-10,4.5
1963-11,4.5
1963-12,4.5
1964-01,4.5
1964-02,4.5
1964-03,4.5
1964-04,4.5
1964-05,4.5
1964-06,4.5
1964-07,4.5
1964-08,4.5
1964-09,4.5
1964-10,4.5
1964-11,4.5
1964-12,4.5
1965-01,4.5
1965-02,4.5
1965-03,4.5
1965-04,4.5
1965-05,4.5
1965-06,4.5
1965-07,4.5
1965-08,4.5
1965-09,4.5
1965-10,4.5
1965-11,4.5
1965-12,4.92
1966-01,5
1966-02,5
1966-03,5.35
1966-04,5.5
1966-05,5.5
1966-06,5.52
1966-07,5.75
1966-08,5.88
1966-09,6
1966-10,6
1966-11,6
1966-12,6
1967-01,5.96
1967-02,5.75
1967-03,5.71
1967-04,5.5
1967-05,5.5
1967-06,5.5
1967-07,5.5
1967-08,5.5
1967-09,5.5
1967-10,5.5
1967-11,5.68
1967-12,6
1968-01,6
1968-02,6
1968-03,6
1968-04,6.2
1968-05,6.5
1968-06,6.5
1968-07,6.5
1968-08,6.5
1968-09,6.45
1968-10,6.25
1968-11,6.25
1968-12,6.6
1969-01,6.95
1969-02,7
1969-03,7.24
1969-04,7.5
1969-05,7.5
1969-06,8.23
1969-07,8.5
1969-08,8.5
1969-09,8.5
1969-10,8.5
1969-11,8.5
1969-12,8.5
1970-01,8.5
1970-02,8.5
1970-03,8.39
1970-04,8
1970-05,8
1970-06,8
1970-07,8
1970-08,8
1970-09,7.83
1970-10,7.5
1970-11,7.28
1970-12,6.92
1971-01,6.29
1971-02,5.88
1971-03,5.44
1971-04,5.28
1971-05,5.46
1971-06,5.5
1971-07,5.91
1971-08,6
1971-09,6
1971-10,5.9
1971-11,5.53
1971-12,5.49
1972-01,5.18
1972-02,4.75
1972-03,4.75
1972-04,4.97
1972-05,5
1972-06,5.04
1972-07,5.25
1972-08,5.27
1972-09,5.5
1972-10,5.73
1972-11,5.75
1972-12,5.79
1973-01,6
1973-02,6.02
1973-03,6.3
1973-04,6.61
1973-05,7.01
1973-06,7.49
1973-07,8.3
1973-08,9.23
1973-09,9.86
1973-10,9.94
1973-11,9.75
1973-12,9.75
1974-01,9.73
1974-02,9.21
1974-03,8.85
1974-04,10.02
1974-05,11.25
1974-06,11.54
1974-07,11.97
1974-08,12
1974-09,12
1974-10,11.68
1974-11,10.83
1974-12,10.5
1975-01,10.05
1975-02,8.96
1975-03,7.93
1975-04,7.5
1975-05,7.4
1975-06,7.07
1975-07,7.15
1975-08,7.66
1975-09,7.88
1975-10,7.96
1975-11,7.53
1975-12,7.26
1976-01,7
1976-02,6.75
1976-03,6.75
1976-04,6.75
1976-05,6.75
1976-06,7.2
1976-07,7.25
1976-08,7.01
1976-09,7
1976-10,6.77
1976-11,6.5
1976-12,6.35
1977-01,6.25
1977-02,6.25
1977-03,6.25
1977-04,6.25
1977-05,6.41
1977-06,6.75
1977-07,6.75
1977-08,6.83
1977-09,7.13
1977-10,7.52
1977-11,7.75
1977-12,7.75
1978-01,7.93
1978-02,8
1978-03,8
1978-04,8
1978-05,8.27
1978-06,8.63
1978-07,9
1978-08,9.01
1978-09,9.41
1978-10,9.94
1978-11,10.94
1978-12,11.55
1979-01,11.75
1979-02,11.75
1979-03,11.75
1979-04,11.75
1979-05,11.75
1979-06,11.65
1979-07,11.54
1979-08,11.91
1979-09,12.9
1979-10,14.39
1979-11,15.55
1979-12,15.3
1980-01,15.25
1980-02,15.63
1980-03,18.31
1980-04,19.77
1980-05,16.57
1980-06,12.63
1980-07,11.48
1980-08,11.12
1980-09,12.23
1980-10,13.79
1980-11,16.06
1980-12,20.35
1981-01,20.16
1981-02,19.43
1981-03,18.05
1981-04,17.15
1981-05,19.61
1981-06,20.03
1981-07,20.39
1981-08,20.5
1981-09,20.08
1981-10,18.45
1981-11,16.84
1981-12,15.75
1982-01,15.75
1982-02,16.56
1982-03,16.5
1982-04,16.5
1982-05,16.5
1982-06,16.5
1982-07,16.26
1982-08,14.39
1982-09,13.5
1982-10,12.52
1982-11,11.85
1982-12,11.5
1983-01,11.16
1983-02,10.98
1983-03,10.5
1983-04,10.5
1983-05,10.5
1983-06,10.5
1983-07,10.5
1983-08,10.89
1983-09,11
1983-10,11
1983-11,11
1983-12,11
1984-01,11
1984-02,11
1984-03,11.21
1984-04,11.93
1984-05,12.39
1984-06,12.6
1984-07,13
1984-08,13
1984-09,12.97
1984-10,12.58
1984-11,11.77
1984-12,11.06
1985-01,10.61
1985-02,10.5
1985-03,10.5
1985-04,10.5
1985-05,10.31
1985-06,9.78
1985-07,9.5
1985-08,9.5
1985-09,9.5
1985-10,9.5
1985-11,9.5
1985-12,9.5
1986-01,9.5
1986-02,9.5
1986-03,9.1
1986-04,8.83
1986-05,8.5
1986-06,8.5
1986-07,8.16
1986-08,7.9
1986-09,7.5
1986-10,7.5
1986-11,7.5
1986-12,7.5
1987-01,7.5
1987-02,7.5
1987-03,7.5
1987-04,7.75
1987-05,8.14
1987-06,8.25
1987-07,8.25
1987-08,8.25
1987-09,8.7
1987-10,9.07
1987-11,8.78
1987-12,8.75
1988-01,8.75
1988-02,8.51
1988-03,8.5
1988-04,8.5
1988-05,8.84
1988-06,9
1988-07,9.29
1988-08,9.84
1988-09,10
1988-10,10
1988-11,10.05
1988-12,10.5
1989-01,10.5
1989-02,10.93
1989-03,11.5
1989-04,11.5
1989-05,11.5
1989-06,11.07
1989-07,10.98
1989-08,10.5
1989-09,10.5
1989-10,10.5
1989-11,10.5
1989-12,10.5
1990-01,10.11
1990-02,10
1990-03,10
1990-04,10
1990-05,10
1990-06,10
1990-07,10
1990-08,10
1990-09,10
1990-10,10
1990-11,10
1990-12,10
1991-01,9.52
1991-02,9.05
1991-03,9
1991-04,9
1991-05,8.5
1991-06,8.5
1991-07,8.5
1991-08,8.5
1991-09,8.2
1991-10,8
1991-11,7.58
1991-12,7.21
1992-01,6.5
1992-02,6.5
1992-03,6.5
1992-04,6.5
1992-05,6.5
1992-06,6.5
1992-07,6.02
1992-08,6
1992-09,6
1992-10,6
1992-11,6
1992-12,6
1993-01,6
1993-02,6
1993-03,6
1993-04,6
1993-05,6
1993-06,6
1993-07,6
1993-08,6
1993-09,6
1993-10,6
1993-11,6
1993-12,6
1994-01,6
1994-02,6
1994-03,6.06
1994-04,6.45
1994-05,6.99
1994-06,7.25
1994-07,7.25
1994-08,7.51
1994-09,7.75
1994-10,7.75
1994-11,8.15
1994-12,8.5
1995-01,8.5
1995-02,9
1995-03,9
1995-04,9
1995-05,9
1995-06,9
1995-07,8.8
1995-08,8.75
1995-09,8.75
1995-10,8.75
1995-11,8.75
1995-12,8.65
1996-01,8.5
1996-02,8.25
1996-03,8.25
1996-04,8.25
1996-05,8.25
1996-06,8.25
1996-07,8.25
1996-08,8.25
1996-09,8.25
1996-10,8.25
1996-11,8.25
1996-12,8.25
1997-01,8.25
1997-02,8.25
1997-03,8.3
1997-04,8.5
1997-05,8.5
1997-06,8.5
1997-07,8.5
1997-08,8.5
1997-09,8.5
1997-10,8.5
1997-11,8.5
1997-12,8.5
1998-01,8.5
1998-02,8.5
1998-03,8.5
1998-04,8.5
1998-05,8.5
1998-06,8.5
1998-07,8.5
1998-08,8.5
1998-09,8.49
1998-10,8.12
1998-11,7.89
1998-12,7.75
1999-01,7.75
1999-02,7.75
1999-03,7.75
1999-04,7.75
1999-05,7.75
1999-06,7.75
1999-07,8
1999-08,8.06
1999-09,8.25
1999-10,8.25
1999-11,8.37
1999-12,8.5
2000-01,8.5
2000-02,8.73
2000-03,8.83
2000-04,9
2000-05,9.24
2000-06,9.5
2000-07,9.5
2000-08,9.5
2000-09,9.5
2000-10,9.5
2000-11,9.5
2000-12,9.5
2001-01,9.05
2001-02,8.5
2001-03,8.32
2001-04,7.8
2001-05,7.24
2001-06,6.98
2001-07,6.75
2001-08,6.67
2001-09,6.28
2001-10,5.53
2001-11,5.1
2001-12,4.84
2002-01,4.75
2002-02,4.75
2002-03,4.75
2002-04,4.75
2002-05,4.75
2002-06,4.75
2002-07,4.75
2002-08,4.75
2002-09,4.75
2002-10,4.75
2002-11,4.35
2002-12,4.25
2003-01,4.25
2003-02,4.25
2003-03,4.25
2003-04,4.25
2003-05,4.25
2003-06,4.22
2003-07,4
2003-08,4
2003-09,4
2003-10,4
2003-11,4
2003-12,4
2004-01,4
2004-02,4
2004-03,4
2004-04,4
2004-05,4
2004-06,4.01
2004-07,4.25
2004-08,4.43
2004-09,4.58
2004-10,4.75
2004-11,4.93
2004-12,5.15
2005-01,5.25
2005-02,5.49
2005-03,5.58
2005-04,5.75
2005-05,5.98
2005-06,6.01
2005-07,6.25
2005-08,6.44
2005-09,6.59
2005-10,6.75
2005-11,7
2005-12,7.15
2006-01,7.26
2006-02,7.5
2006-03,7.53
2006-04,7.75
2006-05,7.93
2006-06,8.02
2006-07,8.25
2006-08,8.25
2006-09,8.25
2006-10,8.25
2006-11,8.25
2006-12,8.25
2007-01,8.25
2007-02,8.25
2007-03,8.25
2007-04,8.25
2007-05,8.25
2007-06,8.25
2007-07,8.25
2007-08,8.25
2007-09,8.03
2007-10,7.74
2007-11,7.5
2007-12,7.33
2008-01,6.98
2008-02,6
2008-03,5.66
2008-04,5.24
2008-05,5
2008-06,5
2008-07,5
2008-08,5
2008-09,5
2008-10,4.56
2008-11,4
2008-12,3.61
2009-01,3.25
2009-02,3.25
2009-03,3.25
2009-04,3.25
2009-05,3.25
2009-06,3.25
2009-07,3.25
2009-08,3.25
2009-09,3.25
2009-10,3.25
2009-11,3.25
2009-12,3.25
2010-01,3.25
2010-02,3.25
2010-03,3.25
2010-04,3.25
2010-05,3.25
2010-06,3.25
2010-07,3.25
2010-08,3.25
2010-09,3.25
2010-10,3.25
2010-11,3.25
2010-12,3.25
2011-01,3.25
2011-02,3.25
2011-03,3.25
2011-04,3.25
2011-05,3.25
2011-06,3.25
2011-07,3.25
2011-08,3.25
2011-09,3.25
2011-10,3.25
2011-11,3.25
2011-12,3.25
2012-01,3.25
2012-02,3.25
2012-03,3.25
2012-04,3.25
2012-05,3.25
2012-06,3.25
2012-07,3.25
2012-08,3.25
2012-09,3.25
2012-10,3.25
2012-11,3.25
2012-12,3.25
2013-01,3.25
2013-02,3.25
2013-03,3.25
2013-04,3.25
2013-05,3.25
2013-06,3.25
2013-07,3.25
2013-08,3.25
2013-09,3.25
2013-10,3.25
2013-11,3.25
2013-12,3.25
2014-01,3.25
2014-02,3.25
2014-03,3.25
2014-04,3.25
2014-05,3.25
2014-06,3.25
2014-07,3.25
2014-08,3.25
